AIPGENE28880	KXJ20928.1
AIPGENE28892	KXJ20924.1
AIPGENE28867	KXJ20921.1
AIPGENE28871	KXJ20889.1
AIPGENE28916	KXJ20893.1
AIPGENE28922	KXJ20934.1
AIPGENE28919	KXJ20906.1
AIPGENE28877	KXJ20945.1
AIPGENE28888	KXJ20908.1
AIPGENE28869	KXJ20940.1
AIPGENE28861	KXJ20943.1
AIPGENE28909	KXJ20929.1
AIPGENE28876	KXJ20930.1
AIPGENE28874	KXJ20920.1
AIPGENE28883	KXJ20880.1
AIPGENE28856	KXJ20939.1
AIPGENE28914	KXJ20907.1
AIPGENE28895	KXJ20911.1
AIPGENE28900	KXJ20938.1
AIPGENE28929	KXJ20935.1
AIPGENE28907	KXJ20952.1
AIPGENE28898	KXJ20904.1
AIPGENE28920	KXJ20910.1
AIPGENE28936	KXJ20950.1
AIPGENE28879	KXJ20885.1
AIPGENE28889	KXJ20925.1
AIPGENE28884	KXJ20936.1
AIPGENE28925	KXJ20909.1
AIPGENE28939	KXJ20879.1
AIPGENE28873	KXJ20900.1
AIPGENE28926	KXJ20901.1
AIPGENE28870	KXJ20927.1
AIPGENE28931	KXJ20891.1
AIPGENE28935	KXJ20944.1
AIPGENE28859	KXJ20918.1
AIPGENE28854	KXJ20881.1
AIPGENE28905	KXJ20948.1
AIPGENE28903	KXJ20898.1
AIPGENE28921	KXJ20951.1
AIPGENE28933	KXJ20931.1
AIPGENE28897	KXJ20894.1
AIPGENE28901	KXJ20915.1
AIPGENE28887	KXJ20942.1
AIPGENE28940	KXJ20886.1
AIPGENE3334	KXJ06311.1
AIPGENE3336	KXJ06310.1
AIPGENE3337	KXJ06312.1
AIPGENE3335	KXJ06313.1
AIPGENE24331	KXJ06307.1
AIPGENE24332	KXJ06308.1
AIPGENE24330	KXJ06309.1
AIPGENE4644	KXJ06305.1
AIPGENE4645	KXJ06304.1
AIPGENE4643	KXJ06306.1
AIPGENE5036	KXJ06302.1
AIPGENE5037	KXJ06303.1
AIPGENE4993	KXJ06301.1
AIPGENE6580	KXJ06299.1
AIPGENE6579	KXJ06300.1
AIPGENE12533	KXJ06298.1
AIPGENE12534	KXJ06297.1
AIPGENE5993	KXJ06296.1
AIPGENE24358	KXJ06295.1
AIPGENE237	KXJ06292.1
AIPGENE234	KXJ06291.1
AIPGENE235	KXJ06294.1
AIPGENE236	KXJ06293.1
AIPGENE15715	KXJ20841.1
AIPGENE15699	KXJ20873.1
AIPGENE15687	KXJ20804.1
AIPGENE15686	KXJ20816.1
AIPGENE15705	KXJ20823.1
AIPGENE15691	KXJ20806.1
AIPGENE15683	KXJ20819.1
AIPGENE15702	KXJ20832.1
AIPGENE15716	KXJ20847.1
AIPGENE15721	KXJ20871.1
AIPGENE15748	KXJ20807.1
AIPGENE15698	KXJ20845.1
AIPGENE15701	KXJ20877.1
AIPGENE15669	KXJ20826.1
AIPGENE15720	KXJ20860.1
AIPGENE15668	KXJ20817.1
